Property	Atomic Number	Symbol	Name	Atomic Weight	Oxidation States, Most Stable	Oxidation States	Density	Electron Configuration	Melting Point	Melting Point Pressure	Boiling Point	Electronegativity	Heat of Vaporization	Heat of Fusion	Electrical Conductivity	Thermal Conductivity	Specific Heat Capacity	First Ionization Potential	Atomic Volume	Atomic Radius	Covalent Radius	Crystal Structure 	Acid-Base Properties	Year when discovered	Color	Color RGB-number	Solubility in Cold water	Solubility in Hot Water	Magnetic Susceptibility	Atomic Electron Affinity	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Ionic Radii in Crystals (Oxidation state)	Lattice parameter a	Lattice parameter b	Lattice parameter c	Content in the Earth's Crust	Content in the Sea	Content in the Air	Polarizability	Enthalpy of Formation at 298.15 K Gas	Enthalpy of Formation at 298.15 K Solid	Gibbs Energy of Formation  298.15 K Gas	Gibbs Energy of Formation  298.15 K Solid	Standard Entropy 298.15 K Gas	Standard Entropy 298.15 K Solid	Heat Capacity 298.15 K Gas	Heat Capacity 298.15 K Solid	Linear Expansion 298.15 K	Half-Life of the most stabile nuclide	Isotopes, Atomic number, Relative atomic weight, Half life						Recyclability (UNEP)
Units				g/mol			g/ml		K	atm	K		kJ/mol	kJ/mol	E6/(ohm*cm)	W/(cm*K)	J/(g*K)	V	ml/mol	Å	Å					RGB	g/100ml	g/100ml	E-6cgs	eV	Å	Å	Å	Å	Å	Å	Å	nm	nm	nm	mg/kg	mg/l	vol-%	E-24 cm3	kJ/mol	kJ/mol	kJ/mol	kJ/mol	J/(mol*K)	J/(mol*K)	J/(mol*K)	J/(mol*K)	E6/K		-, g/mol, 						%
Diagram	ИСТИНА	ЛОЖЬ	ЛОЖЬ	ИСТИНА	ЛОЖЬ	ЛОЖЬ	ИСТИНА	ЛОЖЬ	ИСТИНА	ЛОЖЬ	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ИСТИНА	ИСТИНА	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ИСТИНА	ИСТИНА	ИСТИНА	ИСТИНА	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ЛОЖЬ	ИСТИНА	ЛОЖЬ	ЛОЖЬ						ИСТИНА
H	1	H	Hydrogen	1.00794	1	1	0.0899	1s1	14.025	1	20.268	2.2	0.44936	0.05868	-	0.001815	14.304	13.598	14.4	0.79	0.32	hexagonal	amphoteric	1766	colorless	16777215	2.14(0) cm3, 1.91(25) cm3	0.85(30) cm3, 1.89(50) cm3	-3.98	0.754195, 0.754209								a 0.5338, b 0.3776	-	-, b 0.6162	1400	108000	0.00005	0.666793	218		203.3		114.7		20.8										0
He	2	He	Helium	4.002602	-	-	0.1787	1s2	0.95	26	4.215	-	0.0845	-	-	0.00152	5.193	24.587	-	0.49	0.93	hexagonal		1868	colorless	16777215	0.94(0) cm3, 0.94(25) cm3	1.05(50) cm3, 1.21(75) cm3	-1.88	not stable								a 0.3555, b 0.4240, c 0.4110	-	a 0.5798, -, -	0.008	0.000007	0.0005	0.204956	0				126.2		20.8										0
Li	3	Li	Lithium	6.941	1	1	0.53	1s22s1	453.7	1	1615	0.98	145.92	3	0.108	0.847	3.6	5.392	13.1	2.05	1.23	cubic, body centered	basic	1817	silver white	16777088	decomposes	-	14.2	0.618	(+1); 4; 0.59	(+1); 6; 0.76						a 0.3111, b 0.35093, c 0.4388	-	a 0.5093	20	0.18		24.3	cry 0.0, gas 159.3		gas 126.6		cry 29.1, gas 138.8		cry 24.8, gas 20.8		46								1
Be	4	Be	Beryllium	9.012182	2	2	1.85	1s22s2	1560	1	2745	1.57	292.4	12.2	0.313	2	1.82	9.322	5	1.4	0.9	hexagonal	amphoteric	1798	grey	16777215	insoluble	slightlysoluble, decomposes	-9	not stable	(+2); 4; 0.27	(+2); 6; 0.45						a 0.22859, b 0.25515	-	a 0.35845	2.8	0.0000056		5.6	cry 0, gas 324.0		gas 286.6		cry 9.5, gas 136.3		cry 16.4, gas 20.8		11.3								1
B	5	B	Boron	10.811	3	3	2.34	1s22s2p1	2300	1	4275	2.04	489.7	50.2	1E-12	0.27	1.02	8.298	4.6	1.17	0.82	rhombohedral	acidic	1808	yellow or brown	65535	insoluble	insoluble	-6.7	0.277								1.017			10	4.44		3.03	cry 0, gas 565.0		gas 521.0		cry 5.9, 153.4		cry 11.1, 20.8										1
C	6	C	Carbon	12.0107	4	+/- 4,2	2.26	1s22s2p2	4100	1	4470	2.55	355.8	-	0.00061	1.29	0.71	11.26	4.58	0.91	0.77	hexagonal	acidic	-	colorless	16777215	insoluble	insoluble	(dia) -5.9, (graph) -6.0	1.2629								graph 0.24612, diam 0.35669, hd 0.2522	-	graphite 0.6709, hd 0.4119	200	28		1.76	cry 0, 1.9, gas 716.7		cry 2.9, gas 671.3		cry 5.7, 2.4, gas 158.1		cry 8.5, 6.1, gas 20.8										0
N	7	N	Nitrogen	14.00674	-3	+/- 3,5,4,2	1.251	1s22s2p3	63.14	1	77.35	3.04	2.7928	0.3604	-	0.0002598	1.04	14.534	17.3	0.75	0.75	hexagonal	acidic	1772	colorless	16777215	2.33(0) cm3	1.42(40) cm3	-12	not stable								a 0.5661, b 0.4050, c 0.3957	-	-, b 0.6604, c 0.5109	19	0.5	78	1.1	472.7		455.5		153.3		20.8										0
O	8	O	Oxygen	15.9994	-2	-2	1.429	1s22s2p4	50.35	1	90.18	3.44	3.4099	0.22259	-	0.0002674	0.92	13.618	14	0.65	0.73	cubic		-	colorless	16777215	4.89(0) cm3, 3.16(25) cm3	2.46(50) cm3, 2.30(100) cm3	(g) 3449(293), (l) 7699(90.1), (s) 10200.0(54.3), (s) 1760.0(23.7)	1.4611103	(-2); 3; 1.36	(-2); 6; 1.40						a 0.5403, b 0.4210, c 0.683	a 0.3429	a 0.5086	461000	857000	21	0.802	249.2		231.7		161.1		21.9										0
F	9	F	Fluorine	18.9984032	-1	-1	1.696	1s22s2p5	53.48	1	84.95	3.98	3.2698	0.2552	-	0.000279	0.82	17.422	17.1	0.57	0.72	cubic		1529	green yellow	8454016	HF + O3	decomposes		3.40119	(-1); 6; 1.33							a 0.550, b 0.667	a 0.338	a 0.728	585	1.3		0.557	79.4		62.3		158.8		22.7										0
Ne	10	Ne	Neon	20.1797	-	-	0.901	1s22s2p6	24.553	1	27.096	-	1.7326	0.3317	-	0.000493	0.904	21.564	16.7	0.51	0.71	cubic, face centered		1898	colorless	16777215	1.47(20) cm3	-	-6.74	not stable								0.4462	-	-	0.005	0.00012	0.0018	0.3956	0				146.3		20.8										0
Na	11	Na	Sodium	22.98977	1	1	0.97	(Ne)3s1	371	1	1156	0.93	96.96	2.598	0.21	1.41	1.23	5.139	23.7	2.23	1.54	cubic, body centered	basic	1807	silver	16774090	decomposes to NaOH + H2	-	16	0.547926	(+1); 6; 1.02	(+1); 9; 1.24						a 0.3767, b 0.42906	-	a 0.6154	23600	10800		23.6	cry 0, gas 107.5		gas 77.0		cry 51.3, gas 153.7		cry 28.2, 20.8										0
Mg	12	Mg	Magnesium	24.305	2	2	1.74	(Ne)3s2	922	1	1363	1.31	127.4	8.954	0.226	1.56	1.02	7.646	13.97	1.72	1.36	hexagonal	basic	1755	silver white	16777215	insoluble	decomposes to Mg(OH)2	13.1	not stable	(+2); 6; 0.72							0.32094			23300	1290		10.6	cry 0, gas 147.1		gas 112.5		cry 32.7, gas 148.6		cry 24.9, gas 20.8		24.8								37
Al	13	Al	Aluminum	26.981538	3	3	2.7	(Ne)3s2p1	933.25	1	2793	1.61	293.4	10.79	0.377	2.37	0.9	5.986	10	1.82	1.18	cubic, face centered	amphoteric	1886	silver white	16777215	insoluble	insoluble	16.5	0.441	(+3); 4; 0.39	(+3); 6; 0.54						a 0.40496, b 0.2693	-	b 0.4398	82300	0.002		6.8	cry 0, gas 330.0		gas 289.4		cry 28.3, gas 164.6		cry 24.4, gas 21.4		23.1								50
